Book_title,price,shipping_price,book_quantity,cover_type,book_condition,Author,published_by,published_year,seller_name,seller_location,seller_rate,seller_country
Three Billy Goats Gruff (Picture Books),1.38,8.01,1,Softcover,Good,"Dewan, Ted","Hippo,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Charlie and the Great Glass Elevator (Puffin Story Books),1.38,8.01,1,Softcover,Good,"Dahl, Roald","Puffin Books,",1986,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
What Do We Know About the Inuit? (Information Books - History - What Do We Know About?),1.38,8.01,1,Softcover,Good,Bryan Alexander,"Macdonald Young Bks,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Estimator's Pocket Book (Routledge Pocket Books),1.38,8.01,1,Softcover,Good,"Cartlidge, Duncan","Routledge,",2013,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
A Preface to Milton (Preface Books),1.38,8.01,1,Softcover,Good,"Potter, Lois","Longman Publishing Group,",1971,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Usborne Complete Book of the Microscope (Complete Books),1.38,8.01,1,Softcover,Good,kirsteen-rogers,"Edc Pub,",1998,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Selected Poems (Fyfield Books),1.38,8.01,1,Softcover,Good,"Behn, Aphra",Fyfield Books,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Witch's Daughter (Puffin Books),1.38,8.01,1,Softcover,Good,Nina Bawden,"Puffin Books,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Guide to the Prehistoric and Roman Monuments in England and Wales (Abacus Books),1.38,8.01,1,Softcover,Very good,Jacquetta Hawkes,"Abacus,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Charlotte Sometimes (Puffin Books),1.38,8.01,1,Softcover,Good,Penelope Farmer,"Puffin Books,",1993,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Lizzie Dripping (Puffin Books),1.38,8.01,1,Softcover,Good,"Cresswell, Helen","Penguin Books, Limited,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Top Secret: A Handbook of Codes, Ciphers, and Secret Writing (Booklist Editor's Choice. Books for Youth (Awards))",1.38,8.01,1,Hardcover,Good,"Janeczko, Paul B.","Candlewick,",2004,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Little Book of Maths Songs and Games (Little Books),1.38,8.01,1,Softcover,Good,Sally Featherstone,"Featherstone Education Ltd,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
De Bono's Thinking Course (Ariel Books),1.38,8.01,1,Softcover,Good,"De Bono, Edward","Facts on File,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Gynormous!: The Ultimate Book of Giants (Dolphin Books),1.38,8.01,1,Softcover,Good,"Mitchell, Adrian","Orion Children's Books,",1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Love Shouts and Whispers (Red Fox Poetry Books),1.38,8.01,1,Softcover,Good,Vernon Scannell,"Red Fox,",1991,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Princess Mirror-Belle and the Flying Horse: Two Books in One,1.38,8.01,1,Softcover,Good,"Donaldson, Julia","Macmillan Children's Books,",2017,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Overcoming Chronic Pain (Overcoming Books),1.38,8.01,1,Softcover,Good,Catherine Carus,"Robinson Publishing,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
A Traveller in Time (Puffin Books),1.38,8.01,1,Softcover,Good,ALISON UTTLEY,"PUFFIN BOOKS,",1977,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Books the Church Suppressed: Fiction and Truth in The Da Vinci Code,1.38,8.01,1,Softcover,Good,"Green, Michael","Monarch Books,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Nicobobinus (Puffin Books),1.38,8.01,1,Softcover,Good,Terry Jones,"Puffin Books,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Print Is Dead: Books in our Digital Age (Macmillan Science),1.38,8.01,2,Softcover,Good,"Gomez, J.","Palgrave Macmillan,",2007,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Romans: Fact and Fiction: Adventures in Roman Britain (Fact and Fiction Books),1.38,8.01,2,Softcover,Good,"Place, Robin","Cambridge University Press,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Very Short, Fairly Interesting and Reasonably Cheap Book about Studying Leadership (Very Short, Fairly Interesting & Cheap Books)",1.38,8.01,1,Softcover,Good,"Jackson, Brad","Sage Publications Ltd,",2008,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Periodic Table (Abacus Books),1.38,8.01,1,Softcover,Good,Primo Levi,"Abacus Uk,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Wild Swans (Redwing Books),1.38,8.01,1,Softcover,Good,Hans Christian Andersen,"Julia Macrae,",1986,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Puffin Book of Christmas Poems (Puffin Books),1.38,8.01,2,Softcover,Good,Wes Magee,"Puffin Books,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Don't You Feel Well, Sam? (Sam Books)",1.38,8.01,1,Hardcover,Good,Amy Hest,"Walker Books,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Reading Together : Age 2+: 6 Picture Books Plus Fun Follow-Up Activities,1.38,8.01,2,Softcover,Good,Unknown,"Walker Books,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Hokey Pokey Did It (Picture story books),1.38,8.01,1,Softcover,Good,"Cresswell, Helen","Penguin U S A,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Machine-gunners (M Books),1.38,8.01,1,Hardcover,Good,"Westall, Robert",Nelson Thornes Ltd,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Benjamin's Balloon (Picture Books),1.38,8.01,1,Hardcover,Good,Alan Baker,"Scholastic,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Rory McRory (Picture Books),1.38,8.01,1,Softcover,Good,Sandra Ann Horn~Bee Willey,"Hodder Wayland,",1998,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Annie and the Tiger (Picture Books),1.38,8.01,1,Softcover,Good,Kathy Henderson,"Scholastic,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Picnic (Ecology Story Books),1.38,8.01,1,Hardcover,Good,"Baines, Chris","Frances Lincoln Publishers Ltd,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Don't You Feel Well, Sam? (Sam Books)",1.38,8.01,1,Softcover,Good,Amy Hest,"Walker Children's Paperbacks,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
One Blue Boat (Viking Kestrel Picture Books),1.38,8.01,1,Hardcover,Good,Linda Hammond,"Viking Children's Books,",1991,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
My Very First Mother Goose (Reading Together: Red Books),1.38,8.01,1,Softcover,Good,Iona Opie,"Walker Bks.,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Old Boot (Ecology Story Books),1.38,8.01,1,Hardcover,Good,Chris Baines,"Frances Lincoln Childrens Books,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
A Weekend with Wendell (Viking Kestrel picture books),1.38,8.01,1,Hardcover,Good,"Kevin, Henkes","Puffin,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Annie and the Birds (Picture Books),1.38,8.01,1,Softcover,Good,"Henderson, Kathy","Scholastic Ltd,",1992,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Physical Education in Schools (Books for Teachers Series),1.38,8.01,1,Softcover,Good,"Almond, Len","Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Major Film Theories: An Introduction (Galaxy Books),1.38,8.01,5,Softcover,Good,"Andrew, J. Dudley","Oxford University Press,",1976,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Penguin Dictionary of Politics (Penguin reference books),1.38,8.01,1,Softcover,Good,"Robertson, David","Penguin,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Very Short, Fairly Interesting and Reasonably Cheap Book About Studying Organizations (Very Short, Fairly Interesting & Cheap Books)",1.38,8.01,1,Softcover,Good,Christopher Grey,"SAGE Publications Ltd,",2017,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Glass Half-Empty, Glass Half-Full: How Asperger's Syndrome Changed My Life (Lucky Duck Books)",1.38,8.01,1,Softcover,Good,"Mitchell, Chris","SAGE Publications Ltd,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Italian (Eyewitness Travel Guides Phrase Books),1.38,8.01,1,Softcover,Good,Unknown,"Dorling Kindersley,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Towns and Cities (Opus Books),1.38,8.01,1,Softcover,Good,"Jones, Emrys","Oxford University Press,",1966,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Selected Poems (Fyfield Books),1.38,8.01,1,Softcover,Good,"Davie Comp, Andrew Mellon Professor in Humanities","Carcanet Press,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Negotiating (First Books for Business),1.38,8.01,1,Softcover,Good,Affinity Communications,"McGraw-Hill,",1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Play, Exploration and Learning: A Natural History of the Pre-school (Routledge Education Books)",1.38,8.01,1,Softcover,Good,"Hutt, S. John","Routledge,",1993,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Looking at Inclusion: Listening to the Voices of Young People (Lucky Duck Books),1.38,8.01,1,Softcover,Good,"Macconville, Ruth M","SAGE Publications Ltd,",2007,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Very Short, Fairly Interesting and Reasonably Cheap Book about Management (Very Short, Fairly Interesting & Cheap Books)",1.38,8.01,9,Softcover,Good,"Cunliffe, Ann L","SAGE Publications Ltd,",2014,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Art Deco Designs (Design Source Books),1.38,8.01,1,Softcover,Good,"Hill, Elaine","Search Press,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Chinese Designs (Design Source Books),1.38,8.01,1,Softcover,Good,"Hill, Elaine","Search Press,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Decorative Initials (Design Source Books),1.38,8.01,1,Softcover,Good,"Balchin, Judy","Search Press,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Victorian Designs (Design Source Books),1.38,8.01,1,Softcover,Good,"Hill, Elaine","Search Press,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Up the Organization (Coronet Books,1.38,8.01,1,Softcover,Fair,Robert Townsend,"CORONET BOOKS,",1977,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Circle Time for the Very Young: For Nursery, Reception and Key Stage 1 Children (Lucky Duck Books)",1.38,8.01,3,Softcover,Good,"Collins, Margaret","Paul Chapman Educational Publishing,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Improve Your Teaching (Management Books),1.38,8.01,2,Softcover,Good,"Rathbone, Mike","Scholastic Ltd,",1988,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Up & Away: Using Picture Books,1.38,8.01,1,Softcover,Good,Wendy Michaels,"Oxford University Press,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Piccolo Book of Prayers (Piccolo Books),1.38,8.01,1,Softcover,Good,Meryl Doney,"Pan Books,",1981,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Very Short, Fairly Interesting and Reasonably Cheap Book About Studying Organizations (Very Short, Fairly Interesting & Cheap Books)",1.38,8.01,4,Softcover,Good,"Grey, Chris","SAGE Publications Ltd,",2012,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby/Badger Little Books: Saving the Badgers,1.38,8.01,1,Softcover,Good,"Lewis, Liz","The Geographical Association,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby/Dublin Little Book: Barnaby Goes by Bus (Barnaby Bear Little Books),1.38,8.01,1,Softcover,Good,Liz Lewis,"The Geographical Association,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Polly and the Wolf Again (Young Puffin Books),1.38,8.01,1,Softcover,Good,"Storr, Catherine.","Puffin,",1970,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Responsive Web Design (Brief Books for People Who Make Websites, No. 4)",1.38,8.01,2,Softcover,Good,Ethan Marcotte,A Book Apart,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"MCQs in Gastroenterology, Endocrinology and Renal Medicine (MRCP Part 1 Pocket Books)",1.38,8.01,1,Softcover,Good,Stephen L. Grainger,PasTest,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Thomas: Henry and the Ghost Train / Percy and the Kite / Thomas and the Tiger (Mini Books),1.38,8.01,1,Softcover,Good,christopher-awdry,"Mammoth,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Problem of Assessment in Art and Design (Volume 4) (Intellect Books - Readings in Art and Design Education),1.38,8.01,10,Hardcover,Good,"Rayment, Trevor","Intellect Ltd,",2007,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
ThÃ¯Â¿Â½rÃ¯Â¿Â½se Raquin (Nick Hern Books Drama Classics),1.38,8.01,1,Softcover,Good,"Zola, Emile","Nick Hern Books,",2007,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Supporting Language and Literacy 0-5 (David Fulton Books),1.38,8.01,1,Softcover,Good,"Clipson-Boyles, Suzi","Routledge,",2010,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
E-books in Libraries: A Practical Guide,1.38,8.01,1,Softcover,Good,"Kate Price, Virginia Havergal","Facet Publishing,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Teddy Bears (A Sense of History - Topic Books),1.38,8.01,6,Softcover,Good,Sallie Purkis,"Longman,",1991,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Oops (Storychair Books),1.38,8.01,1,Softcover,Good,Mercer Mayer,"Corgi Childrens,",1981,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Developing Circle Time: Taking Circle Time Much Further (Lucky Duck Books),1.38,8.01,1,Softcover,Good,"Bliss, Teresa","SAGE Publications Ltd,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"E-book Publishing Success: How Anyone Can Write, Compile and Sell E-Books on the Internet (Chandos Information Professional Series)",1.38,8.01,1,Softcover,Good,"Oghjojafor, Kingsley","Chandos Publishing,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Christmas Poems (Usborne Poetry Books) (Usborne Poetry Books),1.38,8.01,1,Hardcover,Fair,Sam Taplin,"Usborne Publishing Ltd,",2007,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Birds' Nest (Stopwatch Books),1.38,8.01,1,Softcover,Good,Barrie Watts,"A & C Black (Childrens books),",1986,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Greedy Alice (Young Corgi Books),1.38,8.01,1,Softcover,Fair,"Cresswell, Helen","Corgi,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Overcoming Anger and Irritability: A Self-help Guide Using Cognitive Behavioral Techniques (Overcoming Books),1.38,8.01,1,Softcover,Good,William H. Davies,"Robinson Publishing,",2009,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Books (Media Story),1.38,8.01,1,Hardcover,Good,Tim Merrison,"Hodder Wayland,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Towards the National Curriculum: Discussion and Control in the English Educational System 1965-1988 (Kogan Page Books for Teachers),1.38,8.01,2,Softcover,Good,"Fowler, W. S.","Kogan Page,",1988,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
George's Marvellous Medicine (Puffin Books),1.38,8.01,1,Softcover,Fair,"Dahl, Roald","Puffin Books,",1982,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Head Louse (Bug Books),1.38,8.01,1,Hardcover,Good,"Macro, Chris","Heinemann Library,",2006,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Rough Guide to French Dictionary Phrasebook 2 (Rough Guides Phrase Books),1.38,8.01,1,Softcover,Good,Rough Guides,"Rough Guides,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Your 12-Week Guide to Running: From Your Armchair to a 5 KM Race in 12 Weeks (IMM Lifestyle Books) Getting Fit, Getting Started",1.38,8.01,1,Softcover,Good,Daniel Ford,"IMM Lifestyle Books,",2013,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Language, Literacy and Learning in Educational Practice (Open University Books)",1.38,8.01,1,Softcover,Good,Unknown,"Multilingual Matters,",1993,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Aliens Stole My Dog (Books for Boys),1.38,8.01,1,Softcover,Good,Ian Whybrow,"Hodder Childrens,",2006,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Very Short Fairly Interesting and Reasonably Cheap Book About Studying Organizations (Very Short, Fairly Interesting & Cheap Books)",1.38,8.01,1,Softcover,Good,"Grey, Christopher John","SAGE Publications Ltd,",2009,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Very Short, Fairly Interesting and Reasonably Cheap Book about Studying Organizations (Very Short, Fairly Interesting & Cheap Books)",1.38,8.01,4,Softcover,Good,"Grey, Christopher John","SAGE Publications Ltd,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
