Book_title,price,shipping_price,book_quantity,cover_type,book_condition,Author,published_by,published_year,seller_name,seller_location,seller_rate,seller_country
Winnie the Pooh and the North Pole (Buzz books),3.09,8.03,1,Hardcover,Good,"Milne, A. A.","Heinemann Young Books,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Troublesome Pig (Piccolo Books),3.09,8.03,1,Softcover,Good,"Lamont, Priscilla","Macmillan Education Australia,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Vera Pratt and the Bishop's False Teeth (Puffin Books),3.09,8.03,1,Softcover,Good,"Girling, Brough","Puffin Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
KS2 English Literacy Hour The Tricky Bits - Years 5-6 (KS2 study books),3.09,8.03,1,Softcover,Good,CGP Books,"Coordination Group Publications Ltd (CGP),",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Boys Only: How To Survive Almost Anything (Buster Books),3.09,8.03,1,Softcover,Good,"Oliver, Martin","Buster Books,",2012,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Do Goldfish Play the Violin? (Piccolo Books),3.09,8.03,1,Softcover,Very good,"Wilson, David Henry","Macmillan Childrens Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
I Can Count (Square books - first books),3.09,8.03,1,Hardcover,Very good,"Grundy, Lynn N","Ladybird Books Ltd,",1980,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Story of the Dancing Frog (Red Fox picture books),3.09,8.03,3,Softcover,Very good,"Blake, Quentin","Red Fox,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Story of Music (Music books),3.09,8.03,1,Softcover,Very good,"Danes, Emma","Usborne Publishing Ltd,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Olga Takes Charge (Young Puffin Books),3.09,8.03,1,Softcover,Very good,"Bond, Michael","Puffin Books,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
THANK YOUs best ever Birthday: The Nurchies (2) (The Nurchies Childrens Picture Books),3.09,8.03,1,Softcover,Very good,"Linehan, Ben","Magic Narrative,",2022,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Empty Suit of Armour (Dolphin Books),3.09,8.03,1,Softcover,Very good,"Umansky, Kaye","Orion Childrens Books,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Fox Busters (Puffin Books),3.09,8.03,1,Softcover,Good,"King-Smith, Dick","Puffin Books,",1980,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Holiday Doodles (Doodle Books),3.09,8.03,1,Softcover,Very good,Fiona Watt,"Usborne,",2016,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Norahs Ark (Red Fox Picture Books),3.09,8.03,1,Softcover,Very good,"Cartwright, Ann","Red Fox,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Fairy Magic (Picture Flats Portrait - Igloo Books Ltd),3.09,8.03,3,Softcover,Very good,Igloo Books,"Igloo Books,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Winnie the Pooh and the Heffalump (Buzz books),3.09,8.03,1,Hardcover,Very good,"Milne, A. A.","Heinemann Young Books,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Allergies (Understanding) (Family Doctor Books),3.09,8.03,2,Softcover,Very good,Joanne Clough,"Family Doctor Publications Ltd,",2006,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Blue Bedroom (Coronet Books),3.09,8.03,1,Softcover,Very good,"Pilcher, Rosamunde","Hodder Paperbacks,",1990,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Little Book of Common Sense: Or Pause for Thought with Wogan (Little Books),3.09,8.03,1,Softcover,Very good,"Wogan OBE, Sir Terry","Orion,",2016,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Topic Book of Where We Live (Little Books),3.09,8.03,2,Softcover,Very good,Liz Powlay,"Featherstone,",2011,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Borrowers Afield (Puffin Books),3.09,8.03,1,Softcover,Good,"Norton, Mary","Puffin Books,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Head, Shoulders, Knees and Toes. (Baby Board Books)",3.09,8.03,1,Hardcover,Good,"Kubler, Annie","Childs Play (International) Ltd,",2002,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Horrible History or what they didnt teach yu in school (Information books),3.09,8.03,1,Hardcover,Good,Tim Wood,"Simon and Schuster,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Latter End (Coronet Books),3.09,8.03,1,Softcover,Fair,"Wentworth, Patricia","Coronet Books,",1979,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Sacred Summits (Arena Books),3.09,8.03,1,Softcover,Good,"Boardman, Peter","Arrow Books Ltd,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Hutchinson Encyclopedia Family Quiz Book: v. 3 (The Hutchinson encyclopedia family quiz books),3.09,8.03,1,Softcover,Good,"Mcglynn, Hilary","Helicon,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Robin Hoods Best Shot: Book 1 (Books For Boys),3.09,8.03,1,Softcover,Very good,"Whybrow, Ian","Hodder Childrens Books,",2006,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Greedy Dog (Usborne Picture Books),3.09,8.03,1,Softcover,Good,Rosie Dickins,"Usborne Publishing Ltd,",2015,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Toby in the Dark (Story Books),3.09,8.03,1,Softcover,Good,Jenny Nimmo,"Walker Books,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Dinopants (The Dino Books),3.09,8.03,1,Softcover,Good,Ciaran Murtagh,"Piccadilly Press Ltd,",2009,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Battle of Bubble and Squeak (Puffin Books),3.09,8.03,1,Softcover,Good,"Pearce, Philippa","Puffin,",1980,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Hoot (Red Fox picture books),3.09,8.03,1,Softcover,Good,"Hissey, Jane","Red Fox,",1998,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Magna Book of Impressionists (Little Gift Books),3.09,8.03,1,Hardcover,Very good,"Rodway, Juliet","Magna Books,",1993,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Puss in Boots (Butterfly fairytale books series I),3.09,8.03,1,Hardcover,Very good,"Cloke, Rene","Award Publications Ltd,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Prime Ministers Brain: Return of the Demon Headmaster (Puffin Books),3.09,8.03,1,Softcover,Good,"Cross, Gillian","Puffin Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Suzi, Sam, George and Alice (Red Fox picture books)",3.17,8.03,1,Softcover,Good,"Birch, Beverley","Red Fox,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Mysteries and Marvels of Nature (Internet-linked Reference) (Internet-Linked Reference Books),3.14,8.03,1,Softcover,Very good,"Dalby, Elizabeth","Usborne Publishing Ltd,",2007,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Horse and Pony Care (Coffee Table Books),3.14,8.03,1,Hardcover,Very good,Mike Janson and Juliana Kemball Williams,"Parragon Plus,",2004,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Eat Well, Waste Less: An A-Z Guide to Using Up Leftovers (Green Books Guides)",3.1,8.03,3,Softcover,Good,"Muir, Bish","Green Books,",2008,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Twitterature: The Worlds Greatest Books Retold Through Twitter,3.17,8.03,2,Softcover,Very good,"Aciman, Alexander and Rensin, Emmett","Penguin,",2009,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Collins Fact Books - Skywatch,3.17,8.03,1,Softcover,Good,"Nottridge, Rhoda","HarperCollinsChildrensBooks,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
More Stories to Tell (Puffin Books),3.17,8.03,1,Softcover,Good,Eileen Colwell,"Puffin,",1979,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Journeys To The Underworld (Abacus Books),3.17,8.03,1,Softcover,Good,"Pitt-Kethley, Fiona","Abacus,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Why We Got Chucked Out of the Inter-schools Football Competition (Young Puffin Story Books),3.17,8.03,1,Softcover,Very good,"Ross, David","Puffin Books,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Winnie the Pooh Meets Kanga and Baby Roo (Buzz books),3.17,8.03,1,Hardcover,Good,"Milne, A. A.","Heinemann Young Books,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Julius Caesars Goat (Young Puffin story books),3.17,8.03,1,Softcover,Good,"King-Smith, Dick","Puffin,",2004,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Journeys To The Underworld (Abacus Books),3.17,8.03,1,Softcover,Fair,"Pitt-Kethley, Fiona","Abacus,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Titch and Daisy (Red Fox Picture Books),3.17,8.03,1,Softcover,Good,"Hutchins, Pat","Red Fox,",1997,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Swoose (Young Puffin Story Books),3.17,8.03,1,Softcover,Very good,"King-Smith, Dick","Puffin Books,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Stress-wise: A Practical Guide for Dealing with Stress (Headway Books),3.17,8.03,1,Softcover,Very good,"Looker, T and Gregson, O","Hodder and Stoughton,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Kings: Account of Books 1 and 2 of Homer's ""Iliad""",3.17,8.03,1,Softcover,Good,"Logue, Christopher","Faber and Faber,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Humphrey's Farm Adventure (Humphrey Picture Flats - Igloo Books Ltd) (Igloo Picture Flats),3.17,8.03,2,Softcover,Good,Igloo Books Ltd,"Igloo Books Ltd,",2013,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Christopher Robin Gives a Party (Winnie-the-Pooh story books),3.17,8.03,2,Hardcover,Good,"Milne, A. A.","Methuen young books,",1990,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Hole at the Pole (Banana Books),3.17,8.03,1,Hardcover,Very good,"DLacey, Chris","Heinemann Young Books,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"God, He Was Good (Picador Books)",3.17,8.03,1,Softcover,Good,"Klavans, J.K.","Macmillan,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Cacti and Other Succulent Plants (Concorde Books),3.17,8.03,1,Softcover,Very good,"Innes, Clive","Littlehampton Book Services Ltd,",1979,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
An Imaginary Menagerie (Puffin Books),3.17,8.03,1,Softcover,Very good,"McGough, Roger","Puffin Books,",1990,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Learn at Home Workbooks: English Age 4-5 (Leap Ahead Work Books),3.17,8.03,1,Softcover,Very good,Igloo Books Ltd,"Igloo Books Ltd,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Pick Me (Picture Books),3.17,8.03,1,Softcover,Very good,Greg Gormley and Illustrated by Roberta Angaramo,"Parragon Book Service Ltd,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Twig Thing (Young Puffin Books),3.17,8.03,1,Softcover,Good,"Mark, Jan","Puffin Books,",1990,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Thunder on the Right (Coronet Books),3.09,8.03,1,Softcover,Good,"Stewart, Mary","Hodder Paperbacks,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Deadly Diseases AND Microscopic Monsters: Two Horrible Books in One (Horrible Science),3.09,8.03,1,Softcover,Very good,"Arnold, Nick","Hippo,",2004,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Dinopoo (The Dino Books),3.09,8.03,1,Softcover,Very good,Ciaran Murtagh,"Piccadilly Press,",2010,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Puzzle Book Space: Brain-tickling quizzes, sudokus, crosswords and wordsearches (National Geographic Kids Puzzle Books)",3.09,8.03,8,Softcover,Very good,National Geographic Kids,"Collins,",2018,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Composting: An Easy Household Guide (Green Books Guides),3.09,8.03,1,Softcover,Very good,Nicky Scott,"Green Books,",2006,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Moses the Kitten (Piccolo Books),3.09,8.03,1,Softcover,Good,"Herriot, James","Macmillan Childrens Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Lady Daisy (Puffin Books),3.09,8.03,1,Softcover,Good,"King-Smith, Dick","Puffin,",1993,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Italian Cooking (Great Little Cook Books),3.09,8.03,1,Softcover,Good,Marieluise Christl-licosa,"Aura Books Plc.,",1998,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Charlie Lewis Plays for Time (Puffin Story Books),3.09,8.03,1,Softcover,Very good,"Kemp, Gene","Puffin Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Praxis (Coronet Books),3.09,8.03,2,Softcover,Good,"Weldon, Fay","Coronet Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Pleasures of Age (Coronet Books),3.09,8.03,1,Softcover,Good,"Morley, Robert","Teach Yourself Books,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Tale of Benjamin Bunny (The original Peter Rabbit books),3.09,8.03,1,Hardcover,As new,"Potter, Beatrix","Frederick Warne,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Secret Seven (Knight Books),3.09,8.03,1,Softcover,Fair,"Blyton, Enid","Knight,",1977,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Praxis (Coronet Books),3.09,8.03,1,Softcover,Good,"Weldon, Fay","Coronet Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Dinopoo (The Dino Books),3.09,8.03,1,Softcover,Good,Ciaran Murtagh,"Piccadilly Press,",2010,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Puffball (Coronet Books),3.09,8.03,1,Softcover,Good,"Weldon, Fay","Sceptre,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Greatest Moments in Rugby (Little Books),3.09,8.03,1,Hardcover,Very good,Ian Welch,"G2 Entertainment Ltd,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Monkey King (Abacus Books),3.09,8.03,1,Softcover,Good,"Mo, Timothy","Penguin,",1990,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Childrens Book of Books 1999,3.09,8.03,2,Softcover,Very good,Various,"Harper Collins,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Tale of Benjamin Bunny (The original Peter Rabbit books),3.09,8.03,3,Hardcover,Very good,"Potter, Beatrix","Frederick Warne,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Tiggers Dont Climb Trees (Winnie-the-Pooh story books),3.17,8.03,1,Hardcover,Very good,"Milne, A. A.","Heinemann Young Books,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Tigger is Unbounced (Winnie-the-Pooh story books),3.17,8.03,2,Hardcover,Very good,"Milne, A. A.","Heinemann Young Books,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"""Which?"" Book of Plumbing and Central Heating (""Which?"" Books)",3.14,8.03,1,Hardcover,Very good,David-holloway-editor,"Hodder,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Ninja Science (Edge Books: Warrior Science),2.19,8.01,1,Softcover,Good,"Lusted, Marcia Amidon","Capstone Global Library Ltd,",2017,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
A Pigs Book of Manners (Red Fox picture books),3.17,8.03,1,Softcover,Good,"Allan, Nicholas","Red Fox,",1997,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Rudolph the Red-nosed Reindeer (Little Owl Christmas Books),3.17,8.03,1,Hardcover,Good,"Marks, Johnny","Egmont Books Ltd,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Pinocchio: My First Reading Book (My First Reading Books),3.17,8.03,1,Hardcover,Very good,Janet Brown,"Armadillo Books,",2013,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Elmer On Stilts (Red Fox Picture Books),3.17,8.03,1,Softcover,Good,"McKee, David","Red Fox,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Garden Pools, Waterfalls and Fountains (Concorde Books)",3.17,8.03,1,Softcover,Good,"Booth-Moores, Andrew","Littlehampton Book Services Ltd,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Animal Jokes for Funny Kids: Volume 6 (Buster Laugh-a-lot Books),3.09,8.03,5,Softcover,Good,"Pinder, Andrew and Southon, Josephine","Buster Books,",2021,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Pillow Talk: A Book of Poems (Puffin Books),3.09,8.03,1,Softcover,Good,"McGough, Roger","Puffin,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Stanislavski: An Introduction (Performance Books),3.09,8.03,1,Softcover,Good,"Benedetti, Jean","Methuen Drama,",1982,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
First Songs (Ladybird Action Rhyme Books),3.09,8.03,1,Hardcover,Good,"Finnigan, Helen","Ladybird Books Ltd,",1988,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Mouse Butcher (Puffin Books),3.09,8.03,1,Softcover,Good,"King-Smith, Dick","Puffin Books,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"My ""r"" Books",3.09,8.03,1,Hardcover,Very good,Jane Belk Moncure,"Grolier Publishing Co. Inc.,",2001,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Girl With Dove: A Life Built By Books,3.09,8.03,1,Softcover,Very good,"Bayley, Sally","William Collins,",2019,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Pesky Pirates! (Button Books),3.17,8.03,1,Hardcover,Good,Meadowside,"Meadowside Childrens Books,",2008,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Book of Take That (Little Books),3.17,8.03,3,Hardcover,Good,Mike Hobbs,"Green Umbrella Publishing,",2007,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Guernsey Little Souvenir Book (Little Souvenir Books),3.17,8.03,1,Hardcover,Very good,"Andrews, Chris","Chris Andrews Publications,",2005,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Tiggers Dont Climb Trees (Winnie-the-Pooh story books),3.17,8.03,2,Hardcover,Good,"Milne, A. A.","Heinemann Young Books,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Worst Witch (Puffin Books),3.09,8.03,2,Softcover,Very good,"Murphy, Jill","Puffin Books,",1978,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Red Fox (Young Puffin Books),3.09,8.03,2,Softcover,Good,"Uttley, Alison","Puffin Books,",1970,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Worst Witch (Puffin Books),3.09,8.03,1,Softcover,Good,"Murphy, Jill","Puffin Books,",1978,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Book of Frogs (Little Books),3.09,8.03,1,Hardcover,Good,Ridout,"Weidenfeld Nicolson Illustrated,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"The Big Book of Facts, Records and Lists (Piccolo Books)",3.17,8.03,1,Softcover,Good,"Holt, Elizabeth","Piccolo,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Three Little Pigs (Butterfly fairytale books series I),3.17,8.03,1,Hardcover,Good,"Cloke, Rene","Award Publications Ltd,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Chris And the Dragon (Young Puffin Books),3.17,8.03,1,Softcover,Good,"Fay, Sampson","Puffin,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Suzi, Sam, George and Alice (Red Fox picture books)",3.17,8.03,1,Softcover,Very good,"Birch, Beverley","Red Fox,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Help! My Family's Driving Me Crazy (Help! books),3.17,8.03,1,Softcover,Very good,"Lamb, Kathryn","Piccadilly Press Ltd,",1997,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Man Who Used the Universe (Orbit Books),3.17,8.03,1,Softcover,Good,"Foster, Alan Dean","Futura Publications,",1984,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Holy Spirit (Little Black Books),3.17,8.03,1,Softcover,Good,"Petty, Scott","Matthias Media,",2012,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Crack-a-joke Book (Puffin Books),3.17,8.03,1,Softcover,Good,Unknown,"Puffin Books,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Garden Pools, Waterfalls and Fountains (Concorde Books)",3.17,8.03,1,Softcover,Very good,"Booth-Moores, Andrew","Littlehampton Book Services Ltd,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Crazy Paper (Beaver Books),3.17,8.03,1,Softcover,Good,"Kenneway, Eric","Red Fox,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"If I Were Bigger Than Anyone and Other Poems: Yellow Set (Maths Together, Yellow Books)",3.22,8.03,1,Softcover,Good,Clara Vulliamy,"Walker,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Seven and the Magician (Knight Books),3.22,8.03,1,Softcover,Good,Evelyne Lallemand,"Hodder Childrens Books,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Opposites - Les Contraires (Bilingual First Books),3.22,8.03,2,Softcover,Good,"Bruzzone, Catherine","b small publishing limited,",1993,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Stamp Collecting (Knight Books),3.22,8.03,1,Softcover,Good,"Phillips, Stanley","Hodder Childrens Books,",1968,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"""Spice Girls"": Mel C (Spice Girls mini books)",3.22,8.03,1,Softcover,Fair,.,"Heinemann Young Books,",1997,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"""Spice Girls"": Mel C (Spice Girls mini books)",3.22,8.03,1,Softcover,Good,.,"Heinemann Young Books,",1997,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Madtail, Miniwhale and Other Shape Poems (Puffin Books)",3.22,8.03,1,Softcover,Good,"Magee, Wes","Puffin Books,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Preface to Pope (Preface Books),2.19,8.01,1,Softcover,Good,"Gordon, Ian Robert Fraser","Routledge,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Report Writing in Business (CIMA Exam Support Books),2.19,8.01,2,Softcover,Good,"Bentley, Trevor","CIMA Publishing,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Beauty and the Beast (Disney Gift Books),3.14,8.03,1,Hardcover,Good,Disney,"Ladybird Books Ltd,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Book of Dogs (Little Books),3.14,8.03,1,Hardcover,Good,Jon Stroud,"G2 Entertainment Ltd,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Book of Dogs (Little Books),3.14,8.03,1,Hardcover,Very good,Jon Stroud,"G2 Entertainment Ltd,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Wainwright in the Valleys of Lakeland (Mermaid Books),3.14,8.03,1,Softcover,Very good,"Wainwright, Alfred","Mermaid Books,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Hot Country (Abacus Books),3.16,8.03,1,Softcover,Good,"Naipaul, Shiva","Penguin,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Hot Country (Abacus Books),3.16,8.03,1,Softcover,Fair,"Naipaul, Shiva","Penguin,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Wee on a Jellyfish Sting and other lies that grown-ups tell you (Bonkers Books),3.09,8.03,1,Softcover,Good,Tracey Turner,"Scholastic,",2010,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Our Little Secret: My Life in the Shadow of Abuse (Hodder Christian books),3.09,8.03,1,Softcover,Good,"Fisher, Julia","Hodder and Stoughton Religious,",2001,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Secret Passage (Puffin Books),3.09,8.03,1,Softcover,Very good,"Bawden, Nina","Puffin Books,",1979,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Jungle Books (Penguin Popular Classics),3.09,8.03,2,Softcover,Good,"Kipling, Rudyard","Penguin Classics,",2007,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Child in the Forest (Ariel Books),3.09,8.03,1,Softcover,Good,"Foley, Winifred","BBC Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Overcoming Traumatic Stress: A Self-Help Guide Using Cognitive Behavioral Techniques: A Self-help Guide Using Cognitive Behavioural Techniques (Overcoming Books),3.09,8.03,1,Softcover,Good,"Herbert, Claudia","Robinson,",2008,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Silver Branch (Puffin Books),3.09,8.03,1,Softcover,Good,Rosemary Sutcliff,"Puffin Books,",1980,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Footballer Called Flip: Book 2 (Books For Boys),3.09,8.03,1,Softcover,Good,"Whybrow, Ian","Hodder Childrens Books,",2006,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Sky in the Pie: A Book of New Poems (Puffin Books),3.09,8.03,1,Softcover,Good,"McGough, Roger","Puffin,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Magic Finger (Young Puffin Books),3.09,8.03,1,Softcover,Good,Roald Dahl,"Puffin Books,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
